Compound	Cleaned_cmpnames	WIKIDATA_query	WIKIDATA_id	notes	PubChem_CID	PubChem_cmpdname	
butanoic acid	butanoic acid	butyric acid	Q193213		264	Butyric acid	
cumarin	cumarin	coumarin	Q111812		323	Coumarin	
para-cymen-7-ol	para-cymen-7-ol				325	4-Isopropylbenzyl alcohol	
p-cymen-7-ol	p-cymen-7-ol				325	4-Isopropylbenzyl alcohol	
cuminaldehyde	cuminaldehyde	cuminaldehyde	Q419952		326	4-Isopropylbenzaldehyde	
cuminal	cuminal	cuminaldehyde	Q419952		326	4-Isopropylbenzaldehyde	
octanal	octanal	caprylaldehyde	Q416673		454	Octanal	
indol	indol	indole	Q319541		798	Indole	
octanol	octanol	caprylic alcohol	Q161666		957	1-Octanol	
octilin	octilin	caprylic alcohol	Q161666		957	1-Octanol	
palmitic acid	palmitic acid	palmitic acid	Q209727		985	Palmitic acid	
palmitic acidb,c	palmitic acid	palmitic acid	Q209727		985	Palmitic acid	
2-phenyl-acetaldehyde	2-phenyl-acetaldehyde	(2E)-2-phenyl-2-butenal	Q27162088		998	Phenylacetaldehyde	
ascabiol	ascabiol				2345	Benzyl benzoate	
bornan-2-one	bornan-2-one	(S)-camphor	Q27095844		2537	Camphor	
camphor	camphor	camphor	Q181559		2537	Camphor	
dl-camphor	dl-camphor	DL-Camphor	Q72515036	Check for isonerism.	2537	Camphor	
a-pinene	alpha-pinene	(-)-alpha-pinene	Q300852		2537	ALPHA-PINENE	
hexadecanol	hexadecanol	cetyl alcohol	Q161632		2682	1-Hexadecanol	
eucalyptol	eucalyptol	eucalyptol	Q161572		2758	Eucalyptol	
decanoic acid	decanoic acid	capric acid	Q422613	Synonyms	2969	Decanoic acid	
deet	deet	diethyltoluamide	Q408389	synonym. check for terpene.	4284	N,N-Diethyl-3-methylbenzamide	
safrole	safrole	safrole	Q412424		5144	Safrole	
stearic acid	stearic acid	stearic acid	Q209685		5281	Stearic acid	
lactone	lactone	lactone	Q59078		5585	Trioxsalen	
cholesterol	cholesterol	cholesterol	Q43656		5997	Cholesterol	
phenyl ethyl alcohol	phenyl ethyl alcohol	phenylethyl alcohol	Q209463		6054	2-Phenylethanol	
n-hexanal	n-hexanal	hexanal	Q420698		6184	Hexanal	
cyclopropane	cyclopropane	cyclopropane	Q80250		6351	Cyclopropane	
ethylene oxide	ethylene oxide	ethylene oxide	Q407473		6354	Ethylene oxide	
linalool	linalool	(+/-)-linalool	Q410932	(+)-linalool (Q27105233). Check for isonerism.	6549	Linalool	
β-linalool	beta-linalool	(+/-)-linalool	Q410932		6549	beta-linalool	
α–pinene	alpha-pinene	(+)-α-pinene	Q2095629	(-)-alpha-pinene (Q300852). Check for isomerism.	6654	alpha-pinene	
α-pinene	alpha-pinene	(+)-α-pinene	Q2095629		6654	alpha-Pinene	
diisobutyl phthalate	diisobutyl phthalate	diisobutyl phthalate	Q162259		6782	Diisobutyl phthalate	
β-guaiene	beta-guaiene	(1S,4S)-β-guaiene	Q27252250		6949	beta-guaiene	
piperitone	piperitone	DL-piperitone	Q2041498	Check for isonerism.	6987	Piperitone	
thymol	thymol	thymol	Q408883		6989	Thymol	
salicylaldehyde	salicylaldehyde	salicylaldehyde	Q414492		6998	Salicylaldehyde	
2-methyl naphthalene	2-methyl naphthalene				7055	2-Methylnaphthalene	
methyleugenol	methyl eugenol	methyl eugenol	Q419829	Check for isonerism.	7127	Methyleugenol	
eugenol acetate	eugenol acetate	eugenol acetate	Q27116129		7136	Acetyleugenol	
benzoyl benzoate	benzoyl benzoate	benzoic anhydride	Q11567424		7167	Benzoic anhydride	
allyl methacrylate	allyl methacrylate	allyl methacrylate	Q2718014		7274	Allyl methacrylate	
furfural	furfural	furfural	Q412429		7362	Furfural	
and carvone	carvone	(±)-carvone	Q416800		7439	Carvone	
α-phellandrene	alpha-phellandrene	(-)-α-phellandrene	Q25933788	(+)-α-phellandrene (Q25933668). Check for isomerism.	7460	alpha-phellandrene	
α –phellandrene	alpha-phellandrene	(-)-α-phellandrene	Q25933788	(+)-α-phellandrene (Q25933668). check for isomerism.	7460	alpha-Phellandrene	
γ-terpinene	gamma-terpinene	γ-terpinene	Q423975		7461	gamma-terpinene	
α-terpinene	alpha-terpinene	α-terpinene	Q423851		7462	alpha-Terpinene	
paracymene	paracymene				7463	P-Cymene	
p-cymene	p-cymene	p-cymene	Q284072		7463	P-Cymene	
cyclopentadiene	cyclopentadiene	cyclopentadiene	Q424390		7612	Cyclopentadiene	
benzenepropanal	benzenepropanal				7707	3-Phenylpropanal	
ethylhexanol	ethylhexanol	2-ethylhexanol	Q209388		7720	2-Ethylhexanol	
isoamyl propionate	isoamyl propionate	isoamyl propionate	Q10869280		7772	Isoamyl propionate	
citronella	citronella				7794	Citronellal	
m-diaminobenzene	m-diaminobenzene	m-phenylenediamine	Q2410205		7935	m-Phenylenediamine	
acetonyl acetone	acetonyl acetone	acetonylacetone	Q209264		8035	2,5-Hexanedione	
isobutyl acetate	isobutyl acetate	isobutyl acetate	Q420657		8038	Isobutyl acetate	
n-pentanal	n-pentanal	pentanal	Q420652		8063	Pentanal	
hexan-1-ol	hexan-1-ol	1-hexanol	Q76933		8103	1-Hexanol	
n-heptanal	n-heptanal	heptanal	Q425827		8130	Heptanal	
nonane	nonane	nonane	Q150694		8141	Nonane	
octyl acetate	octyl acetate	octyl acetate	Q2173897		8164	Octyl acetate	
1-decanol	1-decanol	decyl alcohol	Q47118		8174	1-Decanol	
n-decanal	n-decanal	decanal	Q903525		8175	Decanal	
linalyl acetate	linalyl acetate	(Â±)-linalyl acetate	Q188314		8294	Linalyl acetate	
bergamiol	bergamiol				8294	Linalyl acetate	
p-methylacetophenone	p-methylacetophenone	p-methyl acetophenone	Q2816673		8500	4'-Methylacetophenone	
(e)-β-terpineol	(E)-beta-terpineol	cis-β-terpineol	Q27288363		8748	(E)-beta-terpineol	
cis-β-terpineol	cis-beta-terpineol	cis-β-terpineol	Q27288363		8748	cis-beta-terpineol	
β-terpineol	beta-terpineol	cis-β-terpineol	Q27288363	trans-β-terpineol (Q27261256). Check for isomerism.	8748	beta-terpineol	
estragole	estragole	estragole	Q419495		8815	Estragole	
p-allylanisole	p-allylanisole	estragole	Q419495		8815	Estragole	
methyl chavicol	methyl chavicol	estragole	Q419495		8815	Estragole	
citronellol	citronellol	(+/-)-Î²-citronellol	Q27122080	(S)-Î²-citronellol (Q27105229) ; (R)-Î²-citronellol (Q418813). Isomerism.	8842	Citronellol	
β-citronellol	beta-citronellol	(+/-)-β-citronellol	Q27122080		8842	beta-citronellol	
n-hexyl acetate	n-hexyl acetate	hexyl acetate	Q418672		8908	Hexyl acetate	
citronellol acetate	citronellol acetate	citronellyl acetate	Q27138814		9017	Citronellyl acetate	
δ-amorphene	delta-amorphene	(+)-δ-cadinene	Q27089406		10223	Delta-amorphene	
(+/-)-norephedrine	(+/-)-norephedrine	(+)-phenylpropanolamine	Q413147		10297	(-)-Norephedrine	
cyclooctanone	cyclooctanone	cyclooctanone	Q20054504		10403	Cyclooctanone	
isovaleric acid	isovaleric acid	isovaleric acid	Q415536		10430	Isovaleric acid	
orcinol	orcinol	orcinol	Q412476		10436	Orcinol	
ascaridole	ascaridole	ascaridole	Q419442		10545	Ascaridole	
myrtenol	myrtenol	Myrtenol	Q15425810		10582	Myrtenol	
β-cadinene	beta-cadinene	β-cadinene	Q27103285		10657	beta-cadinene	
apiol	apiol	apiole	Q21071561		10659	Apiole	
2-isopropyltoluene	2-isopropyltoluene	p-cymene	Q284072		10703	O-Cymene	
β-cymene	beta-cymene	cymenes	Q2672403		10812	beta-cymene	
perillyl alcohol	perillyl alcohol	perillyl alcohol	Q15391928		10819	Perillyl alcohol	
tetradecanoic acid	tetradecanoic acid	myristic acid	Q422658		11005	Myristic acid	
trans-pinocamphone	trans-pinocamphone				11038	3-Pinanone	
β-phellandrene	beta-phellandrene	β-phellandrene	Q19606727		11142	beta-phellandrene	
glycidol	glycidol	glycidol	Q418265		11164	Glycidol	
l-4-terpineol	l-4-terpineol	(+/-)-4-terpineol	Q416114		11230	Terpinen-4-ol	
terpinene-4-ol	terpinene-4-ol	(+/-)-4-terpineol	Q416114		11230	Terpinen-4-ol	
terpinen-4-ol	terpinen-4-ol	(+/-)-4-terpineol	Q416114		11230	Terpinen-4-ol	
terpinolene	terpinolene	terpinolene	Q2405051		11463	Terpinolene	
eugenolmethylether	eugenolmethylether				11463	alpha-terpinolene	
α-terpinolene	alpha-terpinolene	terpinolene	Q2405051	isomerism.	11463	alpha-Terpinolene	
γ-terpineol	gamma-terpineol	γ-terpineol	Q27155106		11467	gamma-terpineol	
terpin-3-en-1-ol	terpin-3-en-1-ol				11468	p-Menth-3-en-1-ol	
2-methyl butyl acetate	2-methyl butyl acetate	isobutyl acetate	Q420657		12209	2-Methylbutyl acetate	
2-methylbutyl acetate	2-methylbutyl acetate	2-methylbutyl acetate	Q2823828		12209	2-Methylbutyl acetate	
2-pentyl acetate	2-pentyl acetate	2-pentyl acetate	Q2180922		12278	1-Methylbutyl acetate	
tetradecane	tetradecane	tetradecane	Q150808		12389	Tetradecane	
nonadecane	nonadecane	Nonadecane	Q150911		12401	Nonadecane	
1-eicosanol	1-eicosanol	icosan-1-ol	Q4783532		12404	1-Eicosanol	
pentacosane	pentacosane	pentacosane	Q151007		12406	Pentacosane	
tricosane	tricosane	tricosane	Q150977		12534	Tricosane	
tetracosane	tetracosane	tetracosane	Q150988		12592	Tetracosane	
isopentyl isovalerate	isopentyl isovalerate				12613	Isoamyl isovalerate	
δ-decalactone	delta-decalactone	δ-decalactone	Q27159530		12810	Delta-decalactone	
decyne	decyne	1-decyne	Q3486511		12997	1-Decyne	
fenchone	fenchone	Fenchone	Q414784		14525	Fenchone	
p-cymen-8-ol	p-cymen-8-ol	p-cymen-8-ol	Q27265496		14529	2-(4-Methylphenyl)propan-2-ol	
β-pinene	beta-pinene	beta-pinene	Q300928		14896	beta-pinene	
himachalene	himachalene	Î²-himachalene	Q27121532	gamma-himachalene (Q27121544). Check for isonerism.	15095	beta-Himachalene	
2-methyltetradecane	2-methyltetradecane				15268	2-Methyltetradecane	
allyltoluene	allyltoluene				15317	1-Allyl-2-methylbenzene	
(+)-fenchol	(+)-fenchol	fenchol	Q417941		15406	Fenchol	
2-fenchanol	2-fenchanol	(-)-Î±-fenchyl alcohol	Q27089421		15406	Fenchol	
n-decane	n-decane	decane	Q150717		15600	Decane	
t-butylhydroquinone	tert-butylhydroquinone	tert-butylhydroquinone	Q662443	Check for isomerism.	16043	Tert-Butylhydroquinone	
allyl trisulfide	allyl trisulfide	allyl trisulfide	Q17148332		16315	Diallyl trisulfide	
perillic aldehyde	perillic aldehyde	perillaldehyde	Q3117895		16441	Perillaldehyde	
diallyl disulfide	diallyl disulfide	allyl disulfide	Q419633		16590	Diallyl disulfide	
isopentyl hexanoate	isopentyl hexanoate	isoamyl hexanoate	Q27159714		16617	Isopentyl hexanoate	
d-carvone	d-carvone	(Â±)-carvone	Q416800		16724	d-Carvone	
terpineol	terpineol	terpineol	Q420786		17100	alpha-TERPINEOL	
eudesma 5-en-11-α-ol	eudesma 5-en-11-α-ol				17100	alpha-terpineol	
α-terpinenol	alpha-terpinenol	(+/-)-4-terpineol	Q416114	alpha-terpineol (Q27109437) : alpha-Terpinenol. Isomerism.	17100	alpha-terpinenol	
α-terpineol	alpha-terpineol	alpha-terpineol	Q15724770		17100	alpha-Terpineol	
1-octen-3 yl acetate	1-octen-3-yl acetate	1-octen-3-yl acetate	Q15927659		17121	1-Octen-3-yl acetate	
origanene	origanene	alpha-thujene	Q27121796		17868	alpha-Thujene	
alpha-thujene	alpha-thujene	alpha-thujene	Q27121796		17868	alpha-Thujene	
α-thujene	alpha-thujene	alpha-thujene	Q27121796		17868	alpha-thujene	
β-butyrolactone	beta-butyrolactone	β-butyrolactone	Q27155863		18303	beta-butyrolactone	
p-thymol	p-thymol	thymol	Q408883		18597	4-Isopropyl-3-methylphenol	
oct-1-en-3-ol	oct-1-en-3-ol	oct-1-en-3-ol	Q161667		18827	1-Octen-3-OL	
neomenthol	neomenthol	(+)-neomenthol	Q27089418	Check for isonerism.	19243	Neomenthol	
2-pentylfuran	2-pentylfuran	2-amylfuran	Q27161382		19602	2-Pentylfuran	
furan, 2-pentyl-	2-pentyl-furan	2-amylfuran	Q27161382		19602	2-Pentyl-furan	
p-isobutyltoluene	p-isobutyltoluene				21240	Benzene, 1-methyl-4-(2-methylpropyl)-	
(e)-dihydrocarvone	(e)-dihydrocarvone	(-)-dihydrocarvone	Q27105270	Check for stereoisomerism.	22227	d-Dihydrocarvone	
cis-linalool oxide (furanoid)	cis-linalool oxide 	cis-linalool oxide	Q27160941		22310	2-Methyl-2-vinyl-5-(1-hydroxy-1-methylethyl)tetrahydrofuran	
limonene	limonene	(Â±)-limonene	Q278809		22311	Limonene	
α-limonene	alpha-limonene	(±)-limonene	Q278809	isomerism.	22311	alpha-limonene	
methyl decyl ketone	methyl decyl ketone	2-dodecanone	Q27161470		22556	2-Dodecanone	
silane	silane	silane	Q410572		23953	Silane	
pentadec-1-ene	pentadec-1-ene	1-pentadecene	Q3374882		25913	1-Pentadecene	
δ-3-carene	delta-3-carene	carene	Q19414		26049	Delta-3-carene	
menthone	menthone	Menthone	Q54015201		26447	Menthone	
p-menthone	p-menthone	Menthone	Q54015201		26447	Menthone	
β-bisabolol	beta-bisabolol	β-bisabolol	Q27283109		27208	beta-bisabolol	
rose oxide	rose oxide	rose oxide	Q417155		27866	Rose oxide	
α-fenchene	alpha-fenchene	(−)-α-fenchene	Q24791131	(+)-α-fenchene (Q24791135). Check for isomerism.	28930	alpha-fenchene	
d-verbenone	d-verbenone	verbenone	Q421151	(-)-verbenone (Q6535827)	29025	4,6,6-Trimethylbicyclo[3.1.1]hept-3-en-2-one	
anisyl methyl ketone	anisyl methyl ketone				31231	4-Methoxyphenylacetone	
hydrocinnamic alcohol	hydrocinnamic alcohol	3-phenyl-1-propanol	Q27160792		31234	3-Phenyl-1-propanol	
p-anisaldehyde	p-anisaldehyde	p-anisaldehyde	Q174937		31244	4-Methoxybenzaldehyde	
myrcene	myrcene	myrcene	Q424577		31253	Myrcene	
β-myrcene	beta-myrcene	myrcene	Q424577		31253	beta-myrcene	
isopentyl acetate	isopentyl acetate	isoamyl acetate	Q221307		31276	Isoamyl acetate	
n-nonanal	n-nonanal	nonanal	Q419668		31289	Nonanal	
nonanal	nonanal	nonanal	Q419668		31289	Nonanal	
2-methyldodecan-1-ol	2-methyldodecan-1-ol				42265	2-Methyl-1-dodecanol	
octylbutyrate	octyl butyrate	octyl butyrate	Q27161916		61030	octyl Butyrate	
linalylpropionate	linalyl propionate	linalyl propionate	Q27274686		61098	Linalyl Propionate	
caryophyllenol	caryophyllenol	caryophyllenol i	Q27236187		61125	beta-Caryophyllene alcohol	
verbenol	verbenol	cis-Verbenol	Q73801834	(S)-cis-verbenol (Q27293968) ; (R)-cis-verbenol (Q27289517) . Check for isomerism.	61126	Verbenol	
theaspirane	theaspirane	Theaspirane	Q27161796		61953	2,6,10,10-Tetramethyl-1-oxaspiro[4.5]dec-6-ene	
p-cymenene	p-cymenene	p-Î±-dimethyl styrene	Q27162104		62385	1-Methyl-4-(prop-1-en-2-yl)benzene	
β-bourbonene	beta-bourbonene	beta-Bourbonene	Q27160892		62566	beta-bourbonene	
isoborneol	isoborneol	(+)-borneol	Q412435		64685	Isoborneol	
trans-pinocarveol (14.7)a. oliveriana:borneol	borneol				64685	Borneol	
cedrol	cedrol	cedrol	Q1052617		65575	Cedrol	
(+)-cedrol	(+)-cedrol	cedrol	Q1052617		65575	Cedrol	
pseudolimonen	pseudolimonen				68140	1-Methylene-4-(1-methylvinyl)cyclohexane	
artemisia ketone	artemisia ketone				68346	3,3,6-Trimethylhepta-1,5-dien-4-one	
cyclopentanone, 2-cyclopentylidene	2-cyclopentylidene cyclopentanone				69995		
1h–imidazole, 2-ethyl-4-methyl-	2-ethyl-4-methyl-1h-imidazole				70262	2-Ethyl-4-methyl-1h-imidazole	
2-acetyl-6-methoxynaphthalene	2-acetyl-6-methoxynaphthalene	2-acetyl-6-methoxynaphthalene	Q27263377		77506	2-Acetyl-6-methoxynaphthalene	
δ-terpineol	delta-terpineol	terpineol	Q420786	Isomerism.	81722	Delta-terpineol	
α-trans-bergamotene	alpha-trans-bergamotene	(E)-(-)-α-bergamotene	Q27132147		86608	alpha-trans-bergamotene	
iso-pinocamphone	iso-pinocamphone				86707	3,5,5-Trimethylbicyclo[2.2.1]heptan-2-one	
p-menth-1-en-9-ol	p-menth-1-en-9-ol	p-menth-1-en-9-ol	Q27261954		86753	p-Menth-1-en-9-ol	
(s)-cis-verbenol	(S)-cis-verbenol	(S)-cis-verbenol	Q27293968		87839	(S)-cis-Verbenol	
trans-pinocarveol	trans-pinocarveol	trans-(-)-pinocarveol	Q27156713		88302	trans-Pinocarveol	
davanone d	davanone d				88556	Davanone D	
isobornyl propionate	isobornyl propionate	isobornyl propionate	Q27268818		89306	Isobornyl propionate	
phellandral	phellandral	phellandral	Q27285352		89488	Phellandral	
α-acoradiene	alpha-acoradiene				90351	alpha-acoradiene	
γ-gurjunene	gamma-gurjunene	gamma-gurjunene	Q67880022		90805	gamma-gurjunene	
aromadendrene	aromadendrene	allo-aromadendrene	Q67879598		91354	Aromadendrene	
aromandendrene	aromandendrene				91354	Aromadendrene	
trans-thujone	trans-thujone	Î²-thujone	Q27121861		91456	beta-Thujone	
β-thujone	beta-thujone	β-thujone	Q27121861		91456	beta-thujone	
β-eudesmol	beta-eudesmol	β-eudesmol	Q27108630		91457	beta-eudesmol	
sobrerol	sobrerol	Sobrerol	Q3963210		91463	Sobrerol	
limonene epoxide	limonene epoxide	limonene 1,2-epoxide	Q27101901	(4S)-Limonene-1,2-epoxide (Q27155805). Check for isonerism.	91496	Limonene oxide	
limoneneoxide	limonene oxide	cis-(-)-limonene oxide	Q27253522	trans-(-)-limonene oxide (Q27272568) ; trans-(+)-limonene oxide (Q27104515)	91496	Limonene oxide	
α-pinene oxide	alpha-pinene oxide	alpha-pinene oxide	Q27104051		91508	alpha-pinene oxide	
elemol	elemol	elemol	Q27282855		92138	Elemol	
ar-curcumene	ar-curcumene	Î±-curcumene	Q27132148		92139	alpha-Curcumene	
α-curcumene	alpha-curcumene	α-curcumene	Q27132148		92139	alpha-curcumene	
α-ethyl-p-methoxybenzyl alcohol	alpha-ethyl-p-methoxybenzyl alcohol				92218	alpha-ethyl-p-methoxybenzyl alcohol	
α-eudesmol	alpha-eudesmol	α-eudesmol	Q27108609		92762	alpha-eudesmol	
bornyl-acetate	bornyl-acetate	(±)-bornyl acetate	Q780165		93009	2-Camphanol acetate	
endobornylacetate	endo-bornyl acetate				93009	Endo-bornyl Acetate	
β-cubebene	beta-cubebene	beta-cubebene	Q27108624		93081	beta-cubebene	
α-cyclocitral	alpha-cyclocitral	α-cyclocitral	Q27266437		94143	alpha-cyclocitral	
α-santalene	alpha-santalene	(+)-alpha-santalene	Q27131275		94164	alpha-santalene	
δ-guaiene	delta-guaiene	guaienes	Q56010321	isomerism.	94275	Delta-guaiene	
α-bulnesene	alpha-bulnesene			beta-bulnesene (Q67879714). isomerism	94275	alpha-bulnesene	
