title	entrydescription	entryid	PlantHistoryCat1	PlantHistoryCat2	entryterm	entrywikidata	descwikidata
process		DAVE.PlantMaterialHistory.00	Plant Life Stage		after flowering	Q593803	
process		DAVE.PlantMaterialHistory.01	Post-Harvest Treatment	Drying technique	air-drying		
process	"height in relation to a certain reference point; (general) distance measurement, usually in the vertical or ""up"" direction, between a reference datum and a point or object. The reference datum also often varies according to the context"	DAVE.PlantMaterialHistory.02	Growth Conditions	Location	altitude	Q190200	
process		DAVE.PlantMaterialHistory.03			autolysis	Q787099	A programmed cell death process observed in bacteria and filamentous fungi and leading to spontaneous death by lysis.
process	"one of the Earth's four temperate seasons, occurring between summer and winter"	DAVE.PlantMaterialHistory.04	Growth Conditions	Season	autumn	Q1314	"one of the Earth's four temperate seasons, occurring between summer and winter"
process		DAVE.PlantMaterialHistory.05	Plant Life Stage		beginning of flowering	Q593803	
process		DAVE.PlantMaterialHistory.06	Plant Life Stage		blooming stage	Q885360	
process	form of asexual reproduction	DAVE.PlantMaterialHistory.07	Plant Life Stage		budding	Q845312	
process		DAVE.PlantMaterialHistory.08	Post-Harvest Treatment	EO extraction technique	cold pressed		
process		DAVE.PlantMaterialHistory.09	Plant Material Product	Plant Extract	conventionally distilled oil		
process		DAVE.PlantMaterialHistory.10	Plant Material Selection	Breed	cultivated breeds	Q788558	
process	"state of extreme dryness, or the process of extreme drying"	DAVE.PlantMaterialHistory.11	Post-Harvest Treatment	Drying technique	desiccated	Q903071	"state of extreme dryness, or the process of extreme drying"
process	"state of extreme dryness, or the process of extreme drying"	DAVE.PlantMaterialHistory.11	Post-Harvest Treatment	Drying technique	desiccation	Q903071	"state of extreme dryness, or the process of extreme drying"
process		DAVE.PlantMaterialHistory.12	Plant Life Stage		developmental stage	Q48834911	
process		DAVE.PlantMaterialHistory.13	Post-Harvest Treatment	Plant Material	dried		
process		DAVE.PlantMaterialHistory.14	Growth Conditions	Stress Type	drought stress	Q12142810	Links to Drought Tollerance
process	"yearly period of low rainfall, especially in the tropics"	DAVE.PlantMaterialHistory.15	Growth Conditions	Season	dry season	Q146575	"yearly period of low rainfall, especially in the tropics"
process		DAVE.PlantMaterialHistory.16	Post-Harvest Treatment	EO extraction technique	extraction technique		
process		DAVE.PlantMaterialHistory.17	Plant Material Selection	Sex	female plant	Q43445	
process		DAVE.PlantMaterialHistory.18	Plant Life Stage		floral budding	Q845312	
process		DAVE.PlantMaterialHistory.19	Plant Life Stage		anthesis	Q593803	
process		DAVE.PlantMaterialHistory.19	Plant Life Stage		flowering	Q593803	
process		DAVE.PlantMaterialHistory.20	Post-Harvest Treatment	Drying technique	freeze-dried	Q723912	
process		DAVE.PlantMaterialHistory.21	Plant Material Selection	Plant Material	fresh plant		
process		DAVE.PlantMaterialHistory.22	Plant Life Stage		fruit set		
process		DAVE.PlantMaterialHistory.23	Plant Life Stage		fruiting	Q1364	
process		DAVE.PlantMaterialHistory.24	Plant Life Stage		full bloom	Q885360	
process		DAVE.PlantMaterialHistory.25	Plant Life Stage		full budding	Q845312	
process		DAVE.PlantMaterialHistory.26	Growth Conditions	Light	full sunlight		
process		DAVE.PlantMaterialHistory.27	Plant Life Stage		harvested	Q213753	
process		DAVE.PlantMaterialHistory.28	Post-Harvest Treatment	EO extraction technique	headspace solid phase microextraction	Q58832405	
process		DAVE.PlantMaterialHistory.29	Post-Harvest Treatment	EO extraction technique	headspace solvent microextraction	Q43844354	
process		DAVE.PlantMaterialHistory.30	Post-Harvest Treatment	EO extraction technique	hexane extract		
process		DAVE.PlantMaterialHistory.31	Post-Harvest Treatment	EO extraction technique	hydrodistillation	Q1164392	
process		DAVE.PlantMaterialHistory.32	Growth Conditions		incubated		
process		DAVE.PlantMaterialHistory.33	Growth Conditions	Water	irrigation with fresh water		
process		DAVE.PlantMaterialHistory.34	Plant Life Stage		late flowering	Q593803	
process		DAVE.PlantMaterialHistory.35	Plant Material Selection	Sex	male plant	Q44148	
process		DAVE.PlantMaterialHistory.36	Post-Harvest Treatment	EO extraction technique	micro-steam distillation	Q71541573	
process		DAVE.PlantMaterialHistory.37	Post-Harvest Treatment	EO extraction technique	microdistillation	Q71541573	
process		DAVE.PlantMaterialHistory.38	Growth Conditions	Propagation Method	micropropagated	Q1934105	
process		DAVE.PlantMaterialHistory.38	Growth Conditions	Propagation Method	micropropagation	Q1934105	
process		DAVE.PlantMaterialHistory.39	Post-Harvest Treatment	EO extraction technique	microwave distillation		
process		DAVE.PlantMaterialHistory.40	Post-Harvest Treatment	Drying technique	microwave-dried		
process		DAVE.PlantMaterialHistory.41	Plant Material Selection	Other	non-fruiting trees		
process	wood which has been dried in a kiln or oven	DAVE.PlantMaterialHistory.42	Post-Harvest Treatment	Drying technique	oven-dried	Q56403287	wood which has been dried in a kiln or oven
process		DAVE.PlantMaterialHistory.43	Growth Conditions	Season	planting time		
process		DAVE.PlantMaterialHistory.44	Plant Life Stage		post anthesis	Q593803	
process		DAVE.PlantMaterialHistory.45	Post-Harvest Treatment	Plant Material	powdered		
process		DAVE.PlantMaterialHistory.46	Plant Life Stage		pre anthesis	Q593803	
process		DAVE.PlantMaterialHistory.47	Plant Life Stage		pre-blooming	Q885360	
process		DAVE.PlantMaterialHistory.48	Growth Conditions	Season	rainy season	Q3117517	"yearly period of high rainfall, especially in the tropics"
process		DAVE.PlantMaterialHistory.49	Post-Harvest Treatment		re-hydration	Q56355737	
process		DAVE.PlantMaterialHistory.50	Plant Material Product	Plant Extract	residual oil		
process		DAVE.PlantMaterialHistory.51	Growth Conditions	Stress Type	salinity stress		
process		DAVE.PlantMaterialHistory.52	Growth Conditions	Season	seasonal change		
process		DAVE.PlantMaterialHistory.53	Post-Harvest Treatment	Drying technique	shade-dried		
process	"solid phase extraction sampling technique that involves the use of a fiber coated with an extracting phase, that can be a liquid or a solid, which extracts different kinds of analytes from different kinds of media, that can be in liquid or gas phase"	DAVE.PlantMaterialHistory.54	Post-Harvest Treatment	EO extraction technique	solid-phase microextraction	Q903970	
process	"method to separate compounds based on their relative solubilities in two different immiscible liquids, usually water and an organic solvent; extraction of a substance from one liquid into another liquid phase"	DAVE.PlantMaterialHistory.55	Post-Harvest Treatment	EO extraction technique	solvent extraction	Q866399	
process		DAVE.PlantMaterialHistory.56	Plant Material Selection	Breed	species comparision		
process	water source	DAVE.PlantMaterialHistory.57	Growth Conditions	Season	spring	Q1312	"one of the Earth's four temperate seasons, occurring between winter and summer"
process		DAVE.PlantMaterialHistory.58	Post-Harvest Treatment	EO extraction technique	steam distillation	Q1164392	
process	"one of the Earth's four temperate seasons, occurring between spring and autumn"	DAVE.PlantMaterialHistory.59	Growth Conditions	Season	summer	Q1313	"one of the Earth's four temperate seasons, occurring between spring and autumn"
process		DAVE.PlantMaterialHistory.60	Post-Harvest Treatment	EO extraction technique	supercritical co2		
process		DAVE.PlantMaterialHistory.61	Post-Harvest Treatment	EO extraction technique	supercritical extraction		
process		DAVE.PlantMaterialHistory.62	Post-Harvest Treatment	EO extraction technique	supercritical fluid extraction	Q4410204	
process		DAVE.PlantMaterialHistory.63	Post-Harvest Treatment	EO extraction technique	superheated water extraction		
process		DAVE.PlantMaterialHistory.64	Growth Conditions	Temperature	temperature	Q11466	
process		DAVE.PlantMaterialHistory.64	Growth Conditions	Temperature	temperature variation		
process		DAVE.PlantMaterialHistory.65	Plant Material Product	Plant Extract	vacuum distilled oil	Q1648382	
process		DAVE.PlantMaterialHistory.66	Plant Material Selection	Breed	variety comparision		
process	form of asexual reproduction in plants	DAVE.PlantMaterialHistory.67	Plant Life Stage		vegetative	Q464666	
process		DAVE.PlantMaterialHistory.68	Plant Material Product	Plant Extract	volatile extract		
process		DAVE.PlantMaterialHistory.69	Post-Harvest Treatment	EO extraction technique	water distillation	Q274959	
process		DAVE.PlantMaterialHistory.70	Plant Material Product	Plant Extract	wax extract		
process	"yearly period of high rainfall, especially in the tropics"	DAVE.PlantMaterialHistory.71	Growth Conditions	Season	wet season	Q3117517	"yearly period of high rainfall, especially in the tropics"
process		DAVE.PlantMaterialHistory.72	Plant Material Selection	Breed	wild breed		
process	"one of the Earth's four temperate seasons, occurring between autumn and spring"	DAVE.PlantMaterialHistory.73	Growth Conditions	Season	winter	Q1311	"one of the Earth's four temperate seasons, occurring between autumn and spring"
			Plant Life Stage		germination stage	Q193838	
			Plant Life Stage		growth stage	Q1342838	
			Plant Life Stage		pollination	Q134624	
			Plant Life Stage		seed stage	Q40763	