oilplant,count
Rosmarinus officinalis,66
Mentha piperita,45
Thymus vulgaris,39
Salvia officinalis,39
Origanum vulgare,38
Ocimum basilicum,33
Nigella sativa,32
Syzygium aromaticum,30
Cinnamomum zeylanicum,24
Cymbopogon citratus,23
Melaleuca alternifolia,21
Foeniculum vulgare,21
Mentha spicata,17
Myrtus communis,17
Melissa officinalis,17
Pimpinella anisum,17
Lavandula angustifolia,15
Plectranthus amboinicus,15
Zataria multiflora,15
Origanum majorana,15
Citrus aurantium,15
Curcuma longa,14
Allium sativum,14
Lippia alba,13
Rosmarinus officinalis,,13
Eucalyptus globulus,13
Ocimum sanctum,13
Teucrium polium,12
Citrus sinensis,11
Tagetes minuta,11
Laurus nobilis,11
Zingiber officinale,11
Ocimum gratissimum,11
Protium heptaphyllum,11
Satureja hortensis,10
Arabidopsis thaliana,10
Mentha longifolia,10
Salvia tomentosa,10
Cyperus rotundus,10
Achillea millefolium,9
Pistacia lentiscus,9
Ageratum conyzoides,9
Artemisia campestris,9
Acorus calamus,9
Coriandrum sativum,9
Mentha piperita,,9
Piper nigrum,8
Pelargonium graveolens,8
Lippia sidoides,8
Anethum graveolens,8
Citrus limon,8
Echinophora platyloba,8
Lavandula officinalis,8
Ocimum micranthum,8
Lantana camara,7
Thymus serpyllum,7
Stachys lavandulifolia,7
Pogostemon cablin,7
Cannabis sativa,7
Pinus sylvestris,7
Corymbia citriodora,7
Mentha pulegium,7
Coleus aromaticus,6
Artemisia annua,6
Argania spinosa,6
Tetraclinis articulata,6
Artemisia dracunculus,6
Artemisia herba-alba,6
Thymus vulgaris,,6
Bunium persicum,5
Blepharocalyx salicifolius,5
Eucalyptus globulus,,5
Eucalyptus citriodora,5
Thymus zygis,5
Osmanthus fragrans,5
Hyptis pectinata,5
Cinnamomum verum,5
Nepeta cataria,5
Siparuna guianensis,5
Aframomum melegueta,5
Zanthoxylum acanthopodium,5
Ricinus communis,5
Eugenia uniflora,5
Artemisia absinthium,,5
Tanacetum vulgare,5
Glechoma hederacea,4
Pittosporum tobira,4
Thymus capitatus,4
Marrubium vulgare,4
Prangos ferulacea,4
Artemisia sieberi,4
Syzygium aromaticum,,4
Trachyspermum ammi,4
Artemisia arborescens,4
Dracocephalum kotschyi,4
Cupressus arizonica,4
Eryngium foetidum,4
Calendula officinalis,4
Lavandula latifolia,4
Marrubium peregrinum,4
Citrus bergamia,4
Cupressus macrocarpa,4
Lavandula stoechas,4
Thymus algeriensis,4
Aeollanthus suaveolens,4
Psidium guineense,4
Ziziphora clinopodioides,4
Cymbopogon giganteus,4
Haplophyllum tuberculatum,4
Thymus daenensis,4
Thymus pulegioides,4
Eucalyptus camaldulensis,4
Bunium persicum,,4
Carum carvi,4
Artemisia absinthium,4
Dracocephalum moldavica,3
Vetiveria zizanioides,3
Daucus carota,3
Artemisia scoparia,3
Lavandula angustifolia,,3
Artemisia nilagirica,3
Cymbopogon nardus,3
Cupressus sempervirens,3
Mentha arvensis,3
Echinophora cinerea,3
Salvia officinalis,,3
Schinus molle,3
Petroselinum crispum,3
Rosmarinus officinalis.,3
Origanum onites,3
Chamaemelum nobile,3
Myristica fragrans,3
Ajuga chamaecistus,3
Salvia aucheri,3
Calamintha nepeta,3
Juniperus oxycedrus,3
Echinophora orientalis,3
Lippia gracilis,3
Lippia graveolens,3
Zingiber officinale,,3
Cymbopogon nardus,,3
Myrica gale,3
Carica papaya,3
Pistacia atlantica,3
Ocimum basilicum,,3
Pycnocycla bashagardiana,3
Commiphora myrrha,3
Valeriana officinalis,3
Artemisia afra,,3
Sideritis scardica,3
Satureja subspicata,3
Melissa officinalis,,3
Perilla frutescens,3
Zanthoxylum ekmanii,3
Cymbopogon citratus,,3
Ruta chalepensis,3
Satureja montana,3
Piper nigrum,,3
Mentha pulegium,,3
Piper longum,3
Nigella sativa,,3
Zanthoxylum syncarpum,3
Hymenaea courbaril,3
Satureja hortensis,,3
Persea americana,2
Artemisia caerulescens,2
Fortunella margarita,2
Zanthoxylum procerum,2
Pistacia lentiscus.,2
Pimenta dioica,2
Phlomis pungens,2
Pimpinella anisetum,2
Mentha citrata,2
Croton zehntneri,2
Zataria multiflora,,2
Hedychium spicatum,2
Tagetes erecta,2
Zanthoxylum zanthoxyloides,2
Citrus maxima,2
Rosmarinus officinalis;,2
Erigeron floribundus,2
Aloysia triphylla,2
Piper chaba,2
Stachys officinalis,2
Artemisia maritima,2
Myristica fragrans,,2
Lippia alba,,2
Daucus littoralis,2
Artemisia aucheri,2
Foeniculum vulgare,,2
Ocimum americanum,2
Phlomis olivieri,2
Foeniculum vulgare.,2
Lippia javanica,2
Nicotiana tabacum,2
Lavandula viridis,2
Mentha arvensis,,2
Stachys byzantina,2
Origanum acutidens,2
Xylopia aromatica,2
Alpinia zerumbet,2
Psidium guineense,,2
Lavandula hybrida,2
Ferula communis,2
Aframomum melegueta,,2
Sideritis stricta,2
Angelica archangelica,2
Tagetes patula,2
Mentha spicata,,2
Juglans regia,2
Baccharis salicifolia,2
Rosa damascena,2
Artemisia judaica,2
Citrus aurantium,,2
Melissa officinalis;,2
Teucrium chamaedrys,2
Psidium cattleianum,2
Ruta graveolens,2
Phlomis aucheri,2
Artemisia vulgaris,2
Phlomis aucheri,,2
Blepharocalyx tweediei,2
Phlomis persica,2
Helichrysum italicum,2
Juniperus phoenicea,2
Chamomilla recutita,2
Chrysothamnus nauseosus,2
Melaleuca alternifolia.,2
Ziziphora persica,2
Marrubium vulgare,,2
Allium sativum,,2
Curcuma longa,,2
Ferula gummosa,2
Murraya koenigii,2
Satureja montana,,2
Satureja odora,1
Croton flavens,1
Origanum floribundum,1
Hyptis crenata,1
Ajuga chamaepitys,1
Heteropyxis natalensis,1
Tanacetum parthenium,1
Pilocarpus jaborandi,1
Thymus leptobotrys,1
Salvia leriifolia,1
Laurus nobilis,,1
Cinnamosma fragrans,1
Croton cajucara,1
Aframomum exscapum,1
Echinacea purpurea,1
Tanacetum vulgare,,1
Salvia cryptantha,1
Echinops ritro,1
Eucalyptus robusta,1
Ferula gummosa,,1
Cinnamomum zeylanicum.,1
Artemisia khorassanica,1
Thymus algeriensis,,1
Zanthoxylum limonella,1
Chaerophyllum macropodum,1
Zanthoxylum rhetsa,1
Phlomis samia,1
Dracocephalum moldavica,,1
Phlomis cancellata,1
Citrus latifolia,1
Salvia glutinosa,1
Citrus limon,,1
Citrus limon.,1
Carum carvi;,1
Syzygium aromaticum.,1
Citrus sinensis,,1
Hypericum perforatum,1
Origanum dictamnus,1
Cyperus rotundus.,1
Peperomia pellucida,1
Eucalyptus sideroxylon,1
Carica papaya,,1
Melaleuca styphelioides,1
Croton sonderianus,1
Protium strumosum,1
Echinophora platyloba.,1
Plectranthus barbatus,1
Echinophora platyloba,,1
Salvia verticillata,1
Cyclotrichium straussii,1
Plectranthus neochilus,1
Ducrosia anethifolia,1
Arnica montana,1
Glechoma hederacea;,1
Agastache foeniculum,,1
Achillea millefolium,,1
Centaurium erythraea,1
Hyptis spicigera,1
Artemisia deserti,1
Heracleum persicum,1
Teucrium polium,,1
Ricinus communis,,1
Glechoma hederacea,,1
Mentha gracilis,,1
Osmanthus fragrans.,1
Artemisia stelleriana,1
Backhousia citriodora,1
Leonotis ocymifolia,,1
Melaleuca quinquenervia,1
Osmanthus fragrans,,1
Mentha longifolia,,1
Xylopia aethiopica,1
Ajuga chamaecistus,,1
Tetraclinis articulata.,1
Ruta chalepensis,,1
Tetraclinis articulata,,1
Eucalyptus nitens,1
Chenopodium ambrosioides,,1
Phlomis elliptica,1
Artemisia armeniaca,1
Artemisia campestris.,1
Echinophora carvifolia,1
Marrubium crassidens,1
Abies alba,1
Thymus zygis;,1
Phlomis bracteosa,1
Carum copticum,,1
Lavandula hybrida,,1
Eryngium billardieri,1
Artemisia herba-alba,,1
Cymbopogon distans,1
Satureja rechingeri,1
Hyssopus officinalis,,1
Siparuna guianensis.,1
Ocimum gratissimum,,1
Teucrium persicum,1
Hyptis suaveolens,1
Eucalyptus urophylla,1
Achillea vermicularis,,1
Coleus aromaticus,,1
Mentha aquatica,1
Piper longum,,1
Pycnocycla spinosa,1
Petiveria alliacea,1
Apium graveolens,1
Tetraclinis articulata;,1
Nigella damascena,1
Athamanta sicula,1
Artemisia ciniformis,1
Eryngium caeruleum,1
Sideritis raeseri,1
Hedychium gardnerianum,1
Tanacetum polycephalum,1
Baccharis dracunculifolia,1
Cyperus esculentus,1
Salvia fruticosa,,1
Thymus mastichina,1
Coridothymus capitatus,1
Xanthogalum purpurascens,1
Gmelina arborea,1
Thymus caucasicus,1
Satureja cuneifolia,,1
Thymus herba-barona,1
Echinophora lamondiana,1
Nepeta cataria,,1
Eucalyptus tereticornis,1
Artemisia chamaemelifolia,1
Piper capense,1
Lippia sidoides,,1
Feijoa sellowiana,1
Piper cernuum,,1
Stachys lavandulifolia,,1
Sphaeranthus indicus,1
Stachys lavandulifolia;,1
Amomum subulatum,1
Thymus kotschyanus,1
Hyptis pectinata,,1
Pimpinella aurea,1
Echinophora tournefortii,1
Cupressus macrocarpa,,1
Sideritis scardica,,1
Hyptis pectinata;,1
Cymbopogon winterianus,1
Tagetes minuta.,1
Eucalyptus radiata,1
Tagetes minuta,,1
Artemisia annua,,1
Satureja cuneifolia,1
Ocimum sanctum,,1
Artemisia annua.,1
Chenopodium ambrosioides,1
Xylopia aethiopica,,1
Arabidopsis thaliana.,1
Eryngium bungei,1
Aframomum corrorima,1
Thymus mastichina,,1
Citrullus lanatus,1
Lavandula officinalis,,1
Mentha aquatica,,1
Ocimum kilimandscharicum,1
Citrus latifolia,,1
Echinophora chrysantha,1
Artemisia diffusa,1
Monodora myristica,1
Thymus pectinatus,1
Hyptis suaveolens.,1
Piper mikanianum,1
Carum copticum,1
Thymus vulgaris.,1
Cirsium japonicum,1
Trachyspermum ammi.,1
Salvia fruticosa,1
Pimpinella anisum,,1
Bidens sulphurea,1
Echinophora trichophylla,1
Alpinia galanga,1
Artemisia kermanensis,1
Anacardium humile,1
Trachyspermum ammi,,1
Piper cernuum,1
Aeollanthus suaveolens.,1
Plectranthus amboinicus,,1
Plectranthus amboinicus.,1
Thymus caucasicus,,1
Zanthoxylum acanthopodium,,1
Micromeria nubigena,1
Origanum elongatum,1
Salvia brachyodon,1
Eucalyptus maculata,1
Parthenium hysterophorus,1
Artemisia subdigitata,1
Melaleuca alternifolia,,1
Satureja bachtiarica,1
Salvia eremophila,1
Lavandula stoechas,,1
Marrubium vulgare;,1
Blepharocalyx salicifolius.,1
Protium heptaphyllum.,1
Clinopodium vulgare,1
Pinus sylvestris.,1
Curcuma longa.,1
Echinophora tenuifolia,1
Hyptis martiusii,,1
Thymus persicus,1
Satureja hortensis;,1
Eucalyptus largiflorens,1
Litsea cubeba,,1
